Target,Replicate,Cq_36B4,Cq_Actin,Cq_PTEN,Cq_PTENP1
untransfected,1,17.44,16.08,22.99,30.44
untransfected,1,17.37,16.01,22.96,30.41
untransfected,1,17.62,15.84,23,30.22
siLuc,1,17.72,15.62,23.29,30.09
siLuc,1,17.52,15.56,23.55,30.19
siLuc,1,17.75,15.77,23.61,29.86
siPTEN,1,17.68,15.6,25.1,30.6
siPTEN,1,18.02,15.68,25.12,29.92
siPTEN,1,17.85,15.6,25.09,30.4
siPTENP1,1,18.92,17.15,24.47,33.37
siPTENP1,1,18.97,16.1,24.5,32.86
siPTENP1,1,19.03,16.14,24.6,33.36
siPTEN/PTENP1,1,17.79,16.17,25.04,32.23
siPTEN/PTENP1,1,18,16.21,24.99,32.29
siPTEN/PTENP1,1,18.02,16.25,25.09,31.49
untransfected,2,18.07,16.29,23.41,31.19
untransfected,2,18.08,16.32,23.5,31.27
untransfected,2,18.12,16.36,23.49,30.85
siLuc,2,17.71,15.44,23.09,30.01
siLuc,2,17.72,15.86,23.21,30.2
siLuc,2,17.98,15.88,23.25,30.06
siPTEN,2,18.22,16.16,25.35,30.86
siPTEN,2,18.35,16.27,25.42,30.92
siPTEN,2,18.45,16.24,25.57,30.85
siPTENP1,2,17.98,16.31,23.6,32.72
siPTENP1,2,18.04,15.98,23.68,32.47
siPTENP1,2,17.98,16.33,23.72,32.98
siPTEN/PTENP1,2,18.09,15.95,25.38,32.57
siPTEN/PTENP1,2,17.9,15.99,25.35,32.93
siPTEN/PTENP1,2,17.86,16.07,25.51,32.35
untransfected,3,17.9,16.5,23.5,31.11
untransfected,3,17.85,16.5,23.46,30.71
untransfected,3,18.02,16.64,23.58,30.55
siLuc,3,17.69,15.74,23.38,30.35
siLuc,3,17.92,15.74,23.32,30.27
siLuc,3,17.97,15.81,23.33,30.58
siPTEN,3,17.88,15.69,25.56,31.25
siPTEN,3,17.9,15.5,25.48,30.82
siPTEN,3,17.85,15.6,25.56,30.98
siPTENP1,3,18,16.04,23.7,32.71
siPTENP1,3,18.06,15.73,23.74,32.91
siPTENP1,3,18.09,15.83,23.78,32.77
siPTEN/PTENP1,3,17.9,15.62,25.56,32.24
siPTEN/PTENP1,3,17.93,15.61,25.62,32.71
siPTEN/PTENP1,3,17.98,15.73,25.72,32.12
untransfected,4,18,15.93,23.65,31.68
untransfected,4,17.93,15.95,23.67,31.17
untransfected,4,17.87,16.05,23.72,31.28
siLuc,4,18.44,15.67,23.88,31.39
siLuc,4,18.36,15.94,23.9,31.2
siLuc,4,18.46,15.83,23.94,30.95
siPTEN,4,18.96,16.59,26.23,32.61
siPTEN,4,19.14,16.78,26.26,32.57
siPTEN,4,19.34,16.6,26.54,32.41
siPTENP1,4,19.96,16.99,25.46,33.65
siPTENP1,4,19.86,17.14,25.82,33.38
siPTENP1,4,19.87,17.1,25.6,33.64
siPTEN/PTENP1,4,17.75,15.73,26.03,31.06
siPTEN/PTENP1,4,17.81,15.94,25.92,31.34
siPTEN/PTENP1,4,17.88,16.06,26.13,31.57
untransfected,5,17.73,15.03,23.36,30.89
untransfected,5,17.75,15.3,23.39,30.8
untransfected,5,17.59,15.38,23.29,30.64
siLuc,5,17.67,38.27,23.57,30.69
siLuc,5,17.76,14.07,23.46,31.06
siLuc,5,17.68,15.58,23.53,31.03
siPTEN,5,18.6,16.1,26.23,32.04
siPTEN,5,18.58,16.07,26.1,32.08
siPTEN,5,18.6,16.12,26.07,31.58
siPTENP1,5,19.73,16.84,25.51,33.95
siPTENP1,5,19.68,16.85,25.61,33.48
siPTENP1,5,19.66,17.08,25.69,33.24
siPTEN/PTENP1,5,19.34,16.86,26.72,32.77
siPTEN/PTENP1,5,19.4,16.82,26.78,33.17
siPTEN/PTENP1,5,19.43,17,26.62,32.62
