"treatment","AUC","Repeat"
"Untransfected",28.216666671,1
"Untransfected",42.129729733,2
"Untransfected",43.459239126,3
"Untransfected",50.112676062,4
"Untransfected",40.28125,5
"SiLUC",27.146551724,1
"SiLUC",14.9314516125,2
"SiLUC",14.3375,3
"SiLUC",25.653061226,4
"SiLUC",21.173469388,5
"siPTen",23.591216217,1
"siPTen",24.761904764,2
"siPTen",19.608247424,3
"siPTen",22.223529412,4
"siPTen",18.6554054055,5
"siPTENP1",31.771028038,1
"siPTENP1",43.43617021,2
"siPTENP1",65.600000002,3
"siPTENP1",32.158653847,4
"siPTENP1",23.905555557,5
"PTENPTENP1sp",32.778350517,1
"PTENPTENP1sp",43.022058819,2
"PTENPTENP1sp",48.953846157,3
"PTENPTENP1sp",56.550632912,4
"PTENPTENP1sp",19.220183486,5
