Repeat,, Hsp90.raw,Hsp90.background,hsp90.corrected,Pten.norm.Hsp90
1,Untransfected,115,37,78,0.820512821
1,SiLUC,124,30,94,0.691489362
1,Pten,107,32,75,0.56
1,Ptenp1,146,26,120,0.458333333
1,Pten/ptenp1,101,24,77,0.116883117
2,Untransfected,178,84,94,0.29787234
2,SiLUC,181,82,99,0.272727273
2,Pten,174,82,92,0.076086957
2,Ptenp1,178,82,96,0.166666667
2,Pten/ptenp1,187,86,101,0.059405941
3,Untransfected,98,20,78,0.179
3,SiLUC,138,28,110,0.281
3,Pten,123,28,95,0.084
3,Ptenp1,138,37,101,0.178
3,Pten/ptenp1,143,31,112,0.035
4,Untransfected,155,76,79,0.582278481
4,SiLUC,110,36,74,0.527027027
4,Pten,108,32,76,0.131578947
4,Ptenp1,99,33,66,0.303030303
4,Pten/ptenp1,115,26,89,0.134831461
5,Untransfected,161,32,129,0.403
5,SiLUC,130,20,110,0.281
5,Pten,125,18,107,0
5,Ptenp1,123,18,105,0.219
5,Pten/ptenp1,133,21,112,0.0089
