Sample,Target,Bio_rep,Tech_rep,Cq_36B4,Cq_Actin,Cq_PTEN,Cq_PTENP1
1,siLuc,1,1,19.17393042,17.44743292,24.30108464,29.29257602
1,siLuc,1,2,18.83030003,17.12287078,24.04805789,28.75021662
1,siLuc,1,3,19.13171737,17.31364969,24.3185253,29.00342325
2,miR19b,1,1,18.8517709,17.48618183,24.27900448,29.28018305
2,miR19b,1,2,18.92034967,17.64496375,24.27398503,28.93418518
2,miR19b,1,3,18.7488313,17.3045322,24.08185983,28.68396837
3,miR20a,1,1,19.17290811,19.17012991,26.56662468,29.86307329
3,miR20a,1,2,19.36489331,18.86290635,26.27035748,30.14936708
3,miR20a,1,3,19.11814692,18.80244521,25.05954712,30.201526
4,Untransfected,1,1,19.02480533,17.56505318,24.67590831,27.68502167
4,Untransfected,1,2,18.85278858,17.45050338,24.0534631,27.89937234
4,Untransfected,1,3,18.88126998,17.25335084,23.85437812,27.56467102
5,siLuc,2,1,18.511347,16.98195757,23.85495349,29.27210089
5,siLuc,2,2,18.24274809,17.09611008,23.30509153,29.13504477
5,siLuc,2,3,18.33343904,16.97484931,23.65734726,29.00962111
6,miR19b,2,1,18.78540361,17.24683306,24.2217804,29.15362414
6,miR19b,2,2,19.01095565,17.01362722,23.94998669,29.01048498
6,miR19b,2,3,18.79163675,16.86894306,23.99908326,29.12042395
7,miR20a,2,1,18.63260708,17.39301359,23.71883683,29.32156638
7,miR20a,2,2,18.40701703,17.05509509,24.03503529,29.43822774
7,miR20a,2,3,18.17477678,17.0037443,24.10155196,29.40995283
8,Untransfected,2,1,18.98178999,17.32112843,24.33514815,29.15992842
8,Untransfected,2,2,18.70200422,16.91800319,24.0408014,29.10141276
8,Untransfected,2,3,18.71626394,17.14237362,23.77545739,29.10952933
9,siLuc,3,1,19.08488026,17.3565792,24.24008577,31.49693716
9,siLuc,3,2,19.1330035,16.99422263,23.63820304,30.53097635
9,siLuc,3,3,18.95353623,17.24467303,24.02601249,30.72651838
10,miR19b,3,1,19.17309235,18.06737381,24.40985255,31.18388522
10,miR19b,3,2,19.05116851,17.86691192,24.67062588,31.28177661
10,miR19b,3,3,19.12423694,17.44178995,24.24151889,31.17168084
11,miR20a,3,1,19.61036851,17.59709388,24.73949585,30.04065289
11,miR20a,3,2,19.42352111,17.49602192,24.66854779,29.71798027
11,miR20a,3,3,19.55991311,17.39852749,25.05173102,29.21226323
12,Untransfected,3,1,19.78066027,17.94547701,25.00772685,29.36923936
12,Untransfected,3,2,19.30195999,17.49216418,24.56890848,29.18243099
12,Untransfected,3,3,19.4309255,17.58810371,24.51549637,29.38857979
13,siLuc,4,1,18.72044337,17.1527271,23.89144984,29.30469224
13,siLuc,4,2,18.42719475,17.2893383,23.36891983,29.00626014
13,siLuc,4,3,18.27336939,17.25136593,23.56468482,29.14514008
14,miR19b,4,1,19.14651968,17.21537314,24.07440018,30.22340513
14,miR19b,4,2,18.97008586,16.81638171,23.64667976,29.82898285
14,miR19b,4,3,18.66466926,17.11933999,23.6219158,29.95737394
15,miR20a,4,1,19.13767223,17.584137,24.53195072,30.34881693
15,miR20a,4,2,19.03750549,17.19869713,24.20889844,30.53794251
15,miR20a,4,3,19.05062415,17.29424973,24.54111482,31.23354218
16,Untransfected,4,1,18.54921065,17.42483162,23.99883759,29.78816875
16,Untransfected,4,2,18.60033494,17.17616482,23.4609066,29.09038507
16,Untransfected,4,3,18.50670844,17.22942574,23.42941378,29.46572458
17,siLuc,5,1,18.58230978,17.5186782,23.70669537,29.86751653
17,siLuc,5,2,18.34169626,17.04643947,23.35801505,29.96420274
17,siLuc,5,3,18.46420932,17.42225492,23.26605837,29.82600684
18,miR19b,5,1,19.01174321,17.47131209,24.27166371,30.24125036
18,miR19b,5,2,18.71605811,17.09442597,24.00066784,29.77940236
18,miR19b,5,3,18.75236736,16.97461919,24.1354811,30.00243862
19,miR20a,5,1,19.04805709,17.26875119,24.05480637,30.49366273
19,miR20a,5,2,18.61371527,16.81373312,23.95322067,30.15609809
19,miR20a,5,3,18.5766366,16.75117577,23.89058628,31.02060954
20,Untransfected,5,1,19.04114911,18.02111571,24.85883117,29.73
20,Untransfected,5,2,19.27523427,17.62965871,24.52862033,29.43
20,Untransfected,5,3,19.23105534,17.74699651,24.20250408,
21,siLuc,6,1,19.1609569,17.28568539,24.11297205,29.92170606
21,siLuc,6,2,19.0191781,17.11189906,23.60500263,29.98750807
21,siLuc,6,3,18.82454725,17.35439434,23.86601122,29.46857113
22,miR19b,6,1,19.30295431,17.53117763,24.52312102,30.31075345
22,miR19b,6,2,19.21567195,17.21049444,24.46031605,29.65016599
22,miR19b,6,3,19.20913633,17.47664848,24.20581733,30.06546376
23,miR20a,6,1,18.78887951,17.13628289,24.16321808,30.01159362
23,miR20a,6,2,18.44592868,17.18024441,23.85384212,29.80864103
23,miR20a,6,3,18.48226681,17.16472592,24.04356771,30.18648634
24,Untransfected,6,1,19.64317431,17.58033367,24.63585507,31.1080393
24,Untransfected,6,2,19.51164567,17.54049758,24.43551457,31.49354123
24,Untransfected,6,3,19.5459139,17.50555854,24.33601232,31.61315074
